SPECIES_TYPE,DATA_SOURCE,TXP,VARIANT_CLASS,CANCER_TYPE,ANY_REGION_DUPLICATED,PYCLONECLONAL_SC,OVERALL_TIMING,SPECIES,SCORE_THRESHOLD,DRIVERMUT,MUTANT_EXPRESSED,NUM_MUTS,NUM_ROWS
funfam,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,1.25.40.70_2223_1e8yA03,MC3,TRUE,TRUE,1,1
funfam,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,1.25.40.70_2223_1e8yA03,MC3,TRUE,,1,1
funfam,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,1.25.40.90_2947_2diwA01,,,,1,1
funfam,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,1.25.40.90_2998_3onkA00,,,FALSE,1,1
funfam,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,1.50.10.10_18715_1fmiA00,,,TRUE,2,2
funfam,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,1.50.10.10_18715_1fmiA00,,,,1,1
funfam,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,1.50.10.10_18716_3wiqA02,,,TRUE,1,1
funfam,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,1.50.10.10_18716_3wiqA02,,,,1,1
funfam,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,1.50.10.20_6350_2pn5A09,,,FALSE,1,1
funfam,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,1.50.40.10_9447_2lckA00,,,FALSE,1,1
funfam,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,1.50.40.10_9447_2lckA00,,,,1,1
funfam,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,2.10.110.10_6189_1x63A00,MC3,,,1,1
funfam,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,2.10.25.10_45106_4d90A02,,,TRUE,1,1
funfam,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,2.10.25.10_45117_4aqtA02,,,,1,1
funfam,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,2.10.25.10_45529_1autL01,,,FALSE,1,1
funfam,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,2.10.25.10_45768_1bf9A00,,,FALSE,2,2
